timestamp,run_id,simulador,device,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,umbral_frecuencia_objetivo,shots,estado_top1,frecuencia_top1,frecuencia_llave,encontrada,tiempo_total_s,tiempo_busqueda_s,profundidad
2026-06-01T00:34:26Z,b38a0390-19b8-471b-9847-8525b1b5ebd7,aer_simulator,CPU,2,00,0,1,2,2,2,False,exito,1,1,0.9,1024,00,1024,1024,True,1.065126,1.058099,6
2026-06-01T00:34:26Z,5af94b30-4b59-45b0-9788-4065d65d8f92,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.346884,0.345839,6
2026-06-01T00:34:27Z,14d62d87-b27a-431a-b08f-5a8e9eabca5e,aer_simulator,CPU,2,11,3,1,2,2,2,False,exito,1,1,0.9,1024,11,1024,1024,True,0.347542,0.34654,6
2026-06-01T00:34:27Z,971d967d-0c73-43f8-b002-59b14a16ccd7,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.352474,0.351417,6
2026-06-01T00:34:28Z,6b4fbea0-602a-49d4-825c-8e4e97af5520,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.348002,0.346989,6
2026-06-01T00:34:28Z,7129b81f-78e8-4d74-b160-88eb50bb8862,aer_simulator,CPU,2,00,0,1,2,2,2,False,exito,1,1,0.9,1024,00,1024,1024,True,0.360196,0.359127,6
2026-06-01T00:34:28Z,9960aea8-ecc8-4c05-a82f-120cec575cf9,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.339242,0.338238,6
2026-06-01T00:34:29Z,0f58cbe2-423a-40c7-a609-f30a605ac9de,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.345565,0.344565,6
2026-06-01T00:34:29Z,68b19d33-5976-4809-98aa-aaea715abe45,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.34321,0.342146,6
2026-06-01T00:34:29Z,77e7b9f3-e1e8-4008-859b-3070f8382f9a,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.34451,0.34349,6
2026-06-01T00:34:30Z,3e6b55d6-562b-45e5-8d20-d3f1cf344b7b,aer_simulator,CPU,2,11,3,1,2,2,2,False,exito,1,1,0.9,1024,11,1024,1024,True,0.348021,0.347032,6
2026-06-01T00:34:30Z,fbf4c83f-235f-44c6-8f83-988329a00da6,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.341024,0.340002,6
2026-06-01T00:34:30Z,efa5edd1-1160-416c-9dbf-ea40f37dbf0b,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.344325,0.343321,6
2026-06-01T00:34:31Z,b01ff397-0b5e-4e5f-b56a-cc0f2c148062,aer_simulator,CPU,2,11,3,1,2,2,2,False,exito,1,1,0.9,1024,11,1024,1024,True,0.360907,0.35987,6
2026-06-01T00:34:31Z,405f1838-6bc7-42d3-9643-f0de0f0782ea,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.350161,0.349114,6
2026-06-01T00:34:31Z,43bd609f-9578-4d97-b439-3a0913a82827,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.364813,0.363678,6
2026-06-01T00:34:32Z,3171282e-0144-4b73-9c45-4a58e2be1b12,aer_simulator,CPU,2,00,0,1,2,2,2,False,exito,1,1,0.9,1024,00,1024,1024,True,0.360672,0.359647,6
2026-06-01T00:34:32Z,adc729e5-381a-4909-ac41-0fb0ce65e652,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.356972,0.355635,6
2026-06-01T00:34:32Z,e8718b06-09b9-4fb4-86eb-0f97cfb88667,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.350234,0.349168,6
2026-06-01T00:34:33Z,157351d1-fc0e-4717-a100-63233ebfc0ed,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.347675,0.346652,6
2026-06-01T00:34:33Z,09ad0eb6-1e9e-4890-b187-e29e34ad1eb4,aer_simulator,CPU,2,01,1,1,2,2,2,False,exito,1,1,0.9,1024,01,1024,1024,True,0.354956,0.353943,6
2026-06-01T00:34:33Z,d928622c-fc4a-49ec-aa33-845d3fa56196,aer_simulator,CPU,2,00,0,1,2,2,2,False,exito,1,1,0.9,1024,00,1024,1024,True,0.344503,0.343264,6
2026-06-01T00:34:34Z,c8db94d4-b168-44ab-a1ea-4db99562be97,aer_simulator,CPU,2,00,0,1,2,2,2,False,exito,1,1,0.9,1024,00,1024,1024,True,0.3559,0.354849,6
2026-06-01T00:34:34Z,a1dc75a5-0a62-4191-b1bf-b20ccba08477,aer_simulator,CPU,2,10,2,1,2,2,2,False,exito,1,1,0.9,1024,10,1024,1024,True,0.359004,0.357875,6
2026-06-01T00:34:35Z,00eb2709-42b6-43c1-a687-a1e1c84ca07e,aer_simulator,CPU,2,11,3,1,2,2,2,False,exito,1,1,0.9,1024,11,1024,1024,True,0.362474,0.3614,6
