timestamp,run_id,backend,backend_version,bits,llave_objetivo_bin,llave_objetivo_int,seed_simulador,seed_transpiler,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,shots,umbral_frecuencia_objetivo,estado_top1,frecuencia_top1,frecuencia_llave,tasa_exito,encontrada,distribucion_mediciones,profundidad_circuito,num_compuertas,num_qubits_auxiliares,ops_por_compuerta,tiempo_total_s,tiempo_busqueda_s
2026-06-01T00:48:39Z,e266d382-06a2-4fe3-87ea-9cb2cfb3bd90,qryd_emulator$square,2,6,010110,22,42,42,6,12,12,12,False,exito,6,5,1024,0.9,010110,1022,1022,0.998047,True,"{""010110"": 1022, ""001110"": 1, ""111001"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 185, ""rz"": 60, ""h"": 25, ""measure"": 6}",43.463695,43.45231
2026-06-01T00:49:23Z,94d9b877-d629-41c1-bbd6-324dcb96e67d,qryd_emulator$square,2,6,110111,55,42,42,6,12,12,12,False,exito,6,5,1024,0.9,110111,1022,1022,0.998047,True,"{""111001"": 1, ""110101"": 1, ""110111"": 1022}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 184, ""rz"": 60, ""h"": 25, ""measure"": 6}",43.139333,43.12821
2026-06-01T00:50:06Z,1f6025c4-9d64-47d0-9d99-ab12d03bcd9e,qryd_emulator$square,2,6,000100,4,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000100,1022,1022,0.998047,True,"{""000100"": 1022, ""010101"": 1, ""101110"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 186, ""rz"": 60, ""h"": 24, ""measure"": 6}",43.324761,43.313596
2026-06-01T00:50:49Z,c88b0440-5785-44de-a8f7-3a19ce49a02b,qryd_emulator$square,2,6,110011,51,42,42,6,12,12,12,False,exito,6,5,1024,0.9,110011,1022,1022,0.998047,True,"{""101101"": 1, ""111001"": 1, ""110011"": 1022}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 184, ""rz"": 60, ""h"": 25, ""measure"": 6}",43.491031,43.479271
2026-06-01T00:51:33Z,35a10051-5368-4d21-9a33-2ef2a338d034,qryd_emulator$square,2,6,101000,40,42,42,6,12,12,12,False,exito,6,5,1024,0.9,101000,1022,1022,0.998047,True,"{""101000"": 1022, ""111000"": 1, ""010111"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 184, ""rz"": 60, ""h"": 25, ""measure"": 6}",43.326901,43.315695
2026-06-01T00:52:16Z,a4dc6a4c-59d1-4a30-a716-5a5fb0452de7,qryd_emulator$square,2,6,010001,17,42,42,6,12,12,12,False,exito,6,5,1024,0.9,010001,1022,1022,0.998047,True,"{""010001"": 1022, ""110001"": 1, ""011110"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 185, ""rz"": 60, ""h"": 25, ""measure"": 6}",43.318686,43.307627
2026-06-01T00:52:59Z,9be43280-03f3-4a8e-be56-ee389ff5fe8c,qryd_emulator$square,2,6,111101,61,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111101,1022,1022,0.998047,True,"{""101101"": 1, ""111001"": 1, ""111101"": 1022}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 183, ""rz"": 60, ""h"": 26, ""measure"": 6}",42.561526,42.550396
2026-06-01T00:53:47Z,295e4133-4818-484b-9233-af987d0150d1,qryd_emulator$square,2,6,100100,36,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100100,1022,1022,0.998047,True,"{""100100"": 1022, ""010110"": 1, ""111001"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 185, ""rz"": 60, ""h"": 24, ""measure"": 6}",48.719427,48.708302
2026-06-01T00:54:31Z,65a404fc-e41f-4302-bb59-53cc8c79b9bd,qryd_emulator$square,2,6,100010,34,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100010,1023,1023,0.999023,True,"{""100010"": 1023, ""010111"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 185, ""rz"": 60, ""h"": 24, ""measure"": 6}",43.605229,43.594125
2026-06-01T00:55:14Z,8065a8ca-54f8-498c-a045-91b33cb94387,qryd_emulator$square,2,6,110110,54,42,42,6,12,12,12,False,exito,6,5,1024,0.9,110110,1023,1023,0.999023,True,"{""110110"": 1023, ""011011"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 184, ""rz"": 60, ""h"": 25, ""measure"": 6}",43.308372,43.297285
2026-06-01T00:57:18Z,23c1abd4-2957-43a2-874f-86d31b2bcc83,qryd_emulator$square,2,6,111101,61,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111101,1022,1022,0.998047,True,"{""011110"": 1, ""001111"": 1, ""111101"": 1022}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 183, ""rz"": 60, ""h"": 26, ""measure"": 6}",43.024674,43.01345
2026-06-01T00:58:01Z,d12be646-1f7a-4f18-8bdc-4ecfef3eba50,qryd_emulator$square,2,6,000011,3,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000011,1023,1023,0.999023,True,"{""000011"": 1023, ""110011"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 186, ""rz"": 60, ""h"": 24, ""measure"": 6}",43.447909,43.436815
2026-06-01T00:58:45Z,34a4e8eb-3ede-4495-a90b-1c8ecf01db44,qryd_emulator$square,2,6,011010,26,42,42,6,12,12,12,False,exito,6,5,1024,0.9,011010,1023,1023,0.999023,True,"{""011010"": 1023, ""011110"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 184, ""rz"": 60, ""h"": 26, ""measure"": 6}",43.376825,43.365806
2026-06-01T00:59:27Z,6d5ef4f2-d38e-4a26-aca6-254a115437d7,qryd_emulator$square,2,6,111100,60,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111100,1024,1024,1.0,True,"{""111100"": 1024}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 183, ""rz"": 60, ""h"": 26, ""measure"": 6}",42.690424,42.679674
2026-06-01T01:00:11Z,0cd17d90-0bf2-4f68-b6e7-7d5bc0bd2614,qryd_emulator$square,2,6,000000,0,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000000,1022,1022,0.998047,True,"{""000000"": 1022, ""101010"": 1, ""011101"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 186, ""rz"": 60, ""h"": 24, ""measure"": 6}",43.57167,43.560495
2026-06-01T01:00:54Z,491438bc-570f-4f3a-9121-b590d5607925,qryd_emulator$square,2,6,011011,27,42,42,6,12,12,12,False,exito,6,5,1024,0.9,011011,1023,1023,0.999023,True,"{""011011"": 1023, ""100111"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 184, ""rz"": 60, ""h"": 26, ""measure"": 6}",43.134393,43.123322
2026-06-01T01:01:37Z,f65a4fe2-b259-455f-9419-8fdefefc256b,qryd_emulator$square,2,6,001100,12,42,42,6,12,12,12,False,exito,6,5,1024,0.9,001100,1023,1023,0.999023,True,"{""001100"": 1023, ""011110"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 185, ""rz"": 60, ""h"": 25, ""measure"": 6}",42.634745,42.623676
2026-06-01T01:02:20Z,84669cdb-7824-4b86-94d1-c28ff89bf8d2,qryd_emulator$square,2,6,000011,3,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000011,1022,1022,0.998047,True,"{""000011"": 1022, ""100011"": 1, ""111100"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 780, ""u"": 186, ""rz"": 60, ""h"": 24, ""measure"": 6}",43.079259,43.067679
2026-06-01T01:03:04Z,076cfa69-ff77-4eb5-95a4-dbc59eebe80b,qryd_emulator$square,2,6,100111,39,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100111,1022,1022,0.998047,True,"{""110011"": 1, ""010111"": 1, ""100111"": 1022}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 185, ""rz"": 60, ""h"": 24, ""measure"": 6}",43.918027,43.904815
2026-06-01T01:03:46Z,23cdc8fb-b640-4184-ac65-53e52e2b5104,qryd_emulator$square,2,6,100111,39,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100111,1023,1023,0.999023,True,"{""100111"": 1023, ""110101"": 1}",1550,2064,0,"{""cx"": 1008, ""p"": 781, ""u"": 185, ""rz"": 60, ""h"": 24, ""measure"": 6}",42.287177,42.276143
