timestamp,run_id,simulador,device,bits,llave_objetivo_bin,llave_objetivo_int,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,umbral_frecuencia_objetivo,shots,estado_top1,frecuencia_top1,frecuencia_llave,encontrada,tiempo_total_s,tiempo_busqueda_s,profundidad
2026-07-05T22:56:39Z,9b17275f-b2dc-4e3f-afd4-72846d5d914b,aer_simulator,CPU,10,0101101010,362,25,50,24,24,False,exito,24,20,0.9,1024,0101101010,1023,1023,True,5.25508,5.25366,98
2026-07-05T22:56:45Z,6b2ce16a-6b75-452d-b53e-bcb2c1533986,aer_simulator,CPU,10,1001111110,638,25,50,24,24,False,exito,24,20,0.9,1024,1001111110,1021,1021,True,5.21492,5.213564,98
2026-07-05T22:56:50Z,0aae1f2a-4311-446d-b63e-073dcc397f5b,aer_simulator,CPU,10,1001111011,635,25,50,24,24,False,exito,24,20,0.9,1024,1001111011,1021,1021,True,5.258049,5.256618,98
2026-07-05T22:56:55Z,145f6809-9261-4ce7-9da6-d0983020250f,aer_simulator,CPU,10,0100011011,283,25,50,24,24,False,exito,24,20,0.9,1024,0100011011,1023,1023,True,5.324131,5.322742,98
2026-07-05T22:57:00Z,cbb0032b-0c59-4b00-abb0-9533f4efa155,aer_simulator,CPU,10,1101001100,844,25,50,24,24,False,exito,24,20,0.9,1024,1101001100,1022,1022,True,5.23888,5.2374,98
2026-07-05T22:57:06Z,5f046601-08ee-41d6-9407-7f1424908e3c,aer_simulator,CPU,10,0011110011,243,25,50,24,24,False,exito,24,20,0.9,1024,0011110011,1023,1023,True,5.186079,5.184772,98
2026-07-05T22:57:11Z,98e58359-47f3-40ac-a053-92c39cd0778f,aer_simulator,CPU,10,0111010111,471,25,50,24,24,False,exito,24,20,0.9,1024,0111010111,1022,1022,True,5.250206,5.248847,98
2026-07-05T22:57:16Z,9a5a7fc2-d46e-48f9-9f50-5b3431693e59,aer_simulator,CPU,10,0101101000,360,25,50,24,24,False,exito,24,20,0.9,1024,0101101000,1023,1023,True,5.368319,5.367004,98
2026-07-05T22:57:22Z,64ffaac3-e0bc-412d-8e4a-eb8890f739c4,aer_simulator,CPU,10,1100011001,793,25,50,24,24,False,exito,24,20,0.9,1024,1100011001,1022,1022,True,5.35516,5.353746,98
2026-07-05T22:57:27Z,a88ba5e7-0239-4aba-bf6e-4290af2ed739,aer_simulator,CPU,10,0010100100,164,25,50,24,24,False,exito,24,20,0.9,1024,0010100100,1023,1023,True,5.161658,5.160302,98
