timestamp,run_id,backend,backend_version,bits,llave_objetivo_bin,llave_objetivo_int,seed_simulador,seed_transpiler,iteraciones_teoricas,iteraciones_maximas_evaluadas,iteraciones_planificadas,evaluaciones_realizadas,corte_temprano,razon_corte,iteraciones_requeridas,iteracion_primer_exito,shots,umbral_frecuencia_objetivo,estado_top1,frecuencia_top1,frecuencia_llave,tasa_exito,encontrada,distribucion_mediciones,profundidad_circuito,num_compuertas,num_qubits_auxiliares,ops_por_compuerta,tiempo_total_s,tiempo_busqueda_s
2026-07-05T23:07:25Z,1438ce92-1fde-4dd7-82ed-aaae4d504857,qryd_emulator$square,2,6,100101,37,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100101,1023,1023,0.999023,True,"{""100101"": 1023, ""110101"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 229, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",43.261817,43.250856
2026-07-05T23:08:08Z,d91d47d6-f157-42e4-8fe3-203cedf85874,qryd_emulator$square,2,6,010001,17,42,42,6,12,12,12,False,exito,6,5,1024,0.9,010001,1022,1022,0.998047,True,"{""010001"": 1022, ""010011"": 1, ""101110"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 229, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",43.457257,43.443446
2026-07-05T23:08:51Z,d2f1c633-8833-4054-abe0-ef0bacf92881,qryd_emulator$square,2,6,111110,62,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111110,1022,1022,0.998047,True,"{""111010"": 1, ""011110"": 1, ""111110"": 1022}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",42.820546,42.806835
2026-07-05T23:09:34Z,8c721c43-9995-46f3-a464-928f423a7b75,qryd_emulator$square,2,6,100101,37,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100101,1023,1023,0.999023,True,"{""100101"": 1023, ""001111"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 229, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",43.069649,43.055829
2026-07-05T23:10:17Z,cc255184-61e2-4c1c-a70f-d051998790d2,qryd_emulator$square,2,6,111001,57,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111001,1022,1022,0.998047,True,"{""100111"": 1, ""110011"": 1, ""111001"": 1022}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",43.007003,42.995293
2026-07-05T23:11:00Z,e875cda2-1bb6-4b95-aa0f-89da1b4d620a,qryd_emulator$square,2,6,001110,14,42,42,6,12,12,12,False,exito,6,5,1024,0.9,001110,1023,1023,0.999023,True,"{""001110"": 1023, ""101110"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 229, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.868425,42.857356
2026-07-05T23:11:43Z,07788ce3-eb49-47ad-918b-cbf11e832464,qryd_emulator$square,2,6,111010,58,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111010,1023,1023,0.999023,True,"{""111010"": 1023, ""111100"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",42.986462,42.974731
2026-07-05T23:12:26Z,28a72776-3377-451b-a628-dbe9acc0f676,qryd_emulator$square,2,6,000101,5,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000101,1022,1022,0.998047,True,"{""000101"": 1022, ""000111"": 1, ""111001"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 230, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",43.395125,43.383225
2026-07-05T23:13:09Z,f98551b7-a677-4bb0-a759-bc6bd9c13398,qryd_emulator$square,2,6,101010,42,42,42,6,12,12,12,False,exito,6,5,1024,0.9,101010,1023,1023,0.999023,True,"{""101010"": 1023, ""111001"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 228, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",43.2293,43.21778
2026-07-05T23:13:52Z,8e6b2ad1-fedd-4235-a425-30ee5400e683,qryd_emulator$square,2,6,010011,19,42,42,6,12,12,12,False,exito,6,5,1024,0.9,010011,1023,1023,0.999023,True,"{""010011"": 1023, ""011011"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 229, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.341564,42.329806
2026-07-05T23:14:35Z,9d61b4eb-cdd7-4014-89ea-459c76c5abd1,qryd_emulator$square,2,6,111000,56,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111000,1022,1022,0.998047,True,"{""111000"": 1022, ""110010"": 1, ""001111"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",43.166211,43.154778
2026-07-05T23:15:19Z,8d057101-61c9-4d14-8020-1949e82ad07d,qryd_emulator$square,2,6,111110,62,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111110,1022,1022,0.998047,True,"{""010111"": 1, ""011110"": 1, ""111110"": 1022}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",43.735952,43.721617
2026-07-05T23:16:01Z,09eb71bc-0e10-4597-b7af-42110be61737,qryd_emulator$square,2,6,100000,32,42,42,6,12,12,12,False,exito,6,5,1024,0.9,100000,1022,1022,0.998047,True,"{""100000"": 1022, ""110001"": 1, ""001111"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 229, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",41.940975,41.92944
2026-07-05T23:16:43Z,ec525f3d-cf15-4395-b67d-cb893c4ad5dc,qryd_emulator$square,2,6,111110,62,42,42,6,12,12,12,False,exito,6,5,1024,0.9,111110,1022,1022,0.998047,True,"{""111100"": 1, ""011110"": 1, ""111110"": 1022}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 227, ""rz"": 38, ""h"": 26, ""cp"": 22, ""measure"": 6}",42.839642,42.827446
2026-07-05T23:17:27Z,61d9a1ef-0e32-4a61-99e5-908c05e96a66,qryd_emulator$square,2,6,000110,6,42,42,6,12,12,12,False,exito,6,5,1024,0.9,000110,1022,1022,0.998047,True,"{""000110"": 1022, ""100110"": 1, ""111001"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 769, ""u"": 230, ""rz"": 38, ""h"": 24, ""cp"": 22, ""measure"": 6}",43.172856,43.161299
2026-07-05T23:18:09Z,f19875ee-575d-41d6-aaef-fd13599af248,qryd_emulator$square,2,6,101100,44,42,42,6,12,12,12,False,exito,6,5,1024,0.9,101100,1022,1022,0.998047,True,"{""101100"": 1022, ""000111"": 1, ""111100"": 1}",1517,2053,0,"{""cx"": 964, ""p"": 770, ""u"": 228, ""rz"": 38, ""h"": 25, ""cp"": 22, ""measure"": 6}",42.537515,42.525492
